t,x,y,z
1.624499999999972317e+02,6.033762416352205449e+00,3.528231065650339754e-02,-8.748386269531749804e+00
1.624599999999972226e+02,6.028401240601646727e+00,7.878202926183108454e-03,-8.750478546438211325e+00
1.624699999999972135e+02,6.020649392378443210e+00,-1.932254432511639614e-02,-8.749273969182418398e+00
1.624799999999972044e+02,6.010494622289352940e+00,-4.631312782957076879e-02,-8.744797711680506680e+00
1.624899999999971953e+02,5.997925083233313082e+00,-7.308718703621365498e-02,-8.737075740351727404e+00
1.624999999999971863e+02,5.982929309634283932e+00,-9.963880080333253897e-02,-8.726134762843269499e+00
1.625099999999971772e+02,5.965496174723646128e+00,-1.259624896885525591e-01,-8.712002172461984273e+00
1.625199999999971681e+02,5.945614863328319899e+00,-1.520532132789176594e-01,-8.694705995918473818e+00
1.625299999999971590e+02,5.923274829123930552e+00,-1.779063710905824935e-01,-8.674274838848258895e+00
1.625399999999971499e+02,5.898465772939204044e+00,-2.035177974212781238e-01,-8.650737835686776123e+00
1.625499999999971408e+02,5.871177598016243060e+00,-2.288837645419148914e-01,-8.624124593007064021e+00
1.625599999999971317e+02,5.841400384259305412e+00,-2.540009760931883909e-01,-8.594465141194056912e+00
1.625699999999971226e+02,5.809124349399819920e+00,-2.788665667870102727e-01,-8.561789880734588465e+00
1.625799999999971135e+02,5.774339811810968115e+00,-3.034781035294580320e-01,-8.526129527749210624e+00
1.625899999999971044e+02,5.737037160284939930e+00,-3.278335762281696097e-01,-8.487515067909086497e+00
1.625999999999970953e+02,5.697206810974450697e+00,-3.519314051530431642e-01,-8.445977696895901943e+00
1.626099999999970862e+02,5.654839181569617956e+00,-3.757704292163152604e-01,-8.401548776711253552e+00
1.626199999999970771e+02,5.609924651308724641e+00,-3.993499071688741964e-01,-8.354259781929231465e+00
1.626299999999970680e+02,5.562453519169330285e+00,-4.226695185756652595e-01,-8.304142245811751977e+00
1.626399999999970589e+02,5.512415980275854110e+00,-4.457293528660594140e-01,-8.251227716792246980e+00
1.626499999999970498e+02,5.459802077783860064e+00,-4.685299117727950713e-01,-8.195547704498983066e+00
1.626599999999970407e+02,5.404601667643635032e+00,-4.910721062662065095e-01,-8.137133630022180597e+00
1.626699999999970316e+02,5.346804385365364176e+00,-5.133572529138353824e-01,-8.076016777263129498e+00
1.626799999999970225e+02,5.286399615567263233e+00,-5.353870667616932311e-01,-8.012228247372354062e+00
1.626899999999970134e+02,5.223376433539860031e+00,-5.571636655446183806e-01,-7.945798904425254605e+00
1.626999999999970044e+02,5.157723593281023255e+00,-5.786895583211398852e-01,-7.876759333877775937e+00
1.627099999999969953e+02,5.089429469110450910e+00,-5.999676483380953496e-01,-7.805139789996050403e+00
1.627199999999969862e+02,5.018482030380416070e+00,-6.210012252959687951e-01,-7.730970152143804341e+00
1.627299999999969771e+02,4.944868800363865446e+00,-6.417939633325144833e-01,-7.654279877162613488e+00
1.627399999999969680e+02,4.868576811595357157e+00,-6.623499200739683124e-01,-7.575097950735173669e+00
1.627499999999969589e+02,4.789592583952305915e+00,-6.826735249392554827e-01,-7.493452848195824245e+00
1.627599999999969498e+02,4.707902061111341574e+00,-7.027695877370337962e-01,-7.409372479369677578e+00
1.627699999999969407e+02,4.623490600307294862e+00,-7.226432799783278904e-01,-7.322884155882857904e+00
1.627799999999969316e+02,4.536342911490193863e+00,-7.423001461143836632e-01,-7.234014534762446935e+00
1.627899999999969225e+02,4.446443026272696386e+00,-7.617460900354007247e-01,-7.142789581865429227e+00
1.627999999999969134e+02,4.353774260615004721e+00,-7.809873735757806301e-01,-7.049234527112739457e+00
1.628099999999969043e+02,4.258319174186738998e+00,-8.000306148062353850e-01,-6.953373819513334553e+00
1.628199999999968952e+02,4.160059534941436432e+00,-8.188827788482513359e-01,-6.855231089094883323e+00
1.628299999999968861e+02,4.058976261737283764e+00,-8.375511843690677249e-01,-6.754829096515665654e+00
1.628399999999968770e+02,3.955049415646021860e+00,-8.560434858955725534e-01,-6.652189702750494149e+00
1.628499999999968679e+02,3.848258128455796179e+00,-8.743676828811962620e-01,-6.547333817599426453e+00
1.628599999999968588e+02,3.738580580585734836e+00,-8.925321091309821320e-01,-6.440281364432362210e+00
1.628699999999968497e+02,3.625993957258029532e+00,-9.105454301647919468e-01,-6.331051238956518112e+00
1.628799999999968406e+02,3.510474400853882848e+00,-9.284166428134947857e-01,-6.219661266929636056e+00
1.628899999999968315e+02,3.391996982998179977e+00,-9.461550657732701319e-01,-6.106128169280127693e+00
1.628999999999968225e+02,3.270535657472052549e+00,-9.637703392722993812e-01,-5.990467521008140395e+00
1.629099999999968134e+02,3.146063213739501485e+00,-9.812724232055386464e-01,-5.872693711059111976e+00
1.629199999999968043e+02,3.018551242046877636e+00,-9.986715916366815105e-01,-5.752819906021667151e+00
1.629299999999967952e+02,2.887970091521489646e+00,-1.015978430487339823e+00,-5.630858011325138079e+00
1.629399999999967861e+02,2.754288825559452203e+00,-1.033203832117446819e+00,-5.506818635753600866e+00
1.629499999999967770e+02,2.617475180060322426e+00,-1.050358995974624232e+00,-5.380711051755575625e+00
1.629599999999967679e+02,2.477495521658854560e+00,-1.067455422234042661e+00,-5.252543161016367534e+00
1.629699999999967588e+02,2.334314807882549303e+00,-1.084504909893121871e+00,-5.122321457656916266e+00
1.629799999999967497e+02,2.187896539385647543e+00,-1.101519552764508747e+00,-4.990050993424853587e+00
1.629899999999967406e+02,2.038202720478490271e+00,-1.118511739441543584e+00,-4.855735339888004987e+00
1.629999999999967315e+02,1.885193811836122890e+00,-1.135494148381866353e+00,-4.719376555114319416e+00
1.630099999999967224e+02,1.728828691196620415e+00,-1.152479745386768339e+00,-4.580975148787674200e+00
1.630199999999967133e+02,1.569064604827401288e+00,-1.169481782717990193e+00,-4.440530046302010092e+00
1.630299999999967042e+02,1.405857122625376654e+00,-1.186513795734946752e+00,-4.298038555420806262e+00
1.630399999999966951e+02,1.239160099351662936e+00,-1.203589600688422356e+00,-4.153496332318441731e+00
1.630499999999966860e+02,1.068925624212310854e+00,-1.220723290447645715e+00,-4.006897349783903550e+00
1.630599999999966769e+02,8.971303742580380991e-01,-1.237929236987093118e+00,-3.858233860249564273e+00
1.630699999999966678e+02,7.350571656906831342e-01,-1.255159502336945510e+00,-3.707497591043462659e+00
1.630799999999966587e+02,5.824784950738173261e-01,-1.272271456261550027e+00,-3.554692863302241435e+00
1.630899999999966496e+02,4.387690662840619815e-01,-1.289154491000755076e+00,-3.399841002316158267e+00
1.630999999999966406e+02,3.033549778942783437e-01,-1.305705342183040241e+00,-3.242976237449259003e+00
1.631099999999966315e+02,1.757093163585966566e-01,-1.321827653077828568e+00,-3.084144838590913373e+00
1.631199999999966224e+02,5.534834309452685980e-02,-1.337431569600851633e+00,-2.923404307477109221e+00
