t,u,v
3.174847054417130610e-02,-5.184676732937551838e-03,1.038348487943603793e+00
3.180274143399040160e-02,-5.175447365985874106e-03,1.039580443571479940e+00
3.185701232380949710e-02,-5.166232124678855550e-03,1.040809729799398564e+00
3.191128321362859260e-02,-5.157031011401707991e-03,1.042036355676501325e+00
3.196555410344768811e-02,-5.147844028392598546e-03,1.043260330222969490e+00
3.201982499326678361e-02,-5.138671177743925518e-03,1.044481662430198465e+00
3.207409588308587911e-02,-5.129512461403576071e-03,1.045700361260969657e+00
3.212836677290498155e-02,-5.120367881176181302e-03,1.046916435649622112e+00
3.218263766272407705e-02,-5.111237438724363508e-03,1.048129894502223491e+00
3.223690855254317256e-02,-5.102121135569969573e-03,1.049340746696739712e+00
3.229117944236226806e-02,-5.093018973095301757e-03,1.050549001083204592e+00
3.234545033218136356e-02,-5.083930952544340673e-03,1.051754666483886824e+00
3.239972122200045906e-02,-5.074857075023954389e-03,1.052957751693456956e+00
3.245399211181955457e-02,-5.065797341505108402e-03,1.054158265479155032e+00
3.250826300163865007e-02,-5.056751752824059989e-03,1.055356216580954021e+00
3.256253389145774557e-02,-5.047720309683549102e-03,1.056551613711725679e+00
3.261680478127684801e-02,-5.038703012653977104e-03,1.057744465557403091e+00
3.267107567109594352e-02,-5.029699862174589857e-03,1.058934780777143425e+00
3.272534656091503902e-02,-5.020710858554632179e-03,1.060122568003490695e+00
3.277961745073413452e-02,-5.011736001974513577e-03,1.061307835842535408e+00
3.283388834055323002e-02,-5.002775292486960103e-03,1.062490592874075102e+00
3.288815923037232553e-02,-4.993828730018157538e-03,1.063670847651773776e+00
3.294243012019142103e-02,-4.984896314368885903e-03,1.064848608703320210e+00
3.299670101001051653e-02,-4.975978045215652228e-03,1.066023884530584942e+00
3.305097189982961203e-02,-4.967073922111807718e-03,1.067196683609778152e+00
3.310524278964871447e-02,-4.958183944488668386e-03,1.068367014391603975e+00
3.315951367946780998e-02,-4.949308111656619200e-03,1.069534885301417271e+00
3.321378456928690548e-02,-4.940446422806213898e-03,1.070700304739376607e+00
3.326805545910600098e-02,-4.931598877009268737e-03,1.071863281080598584e+00
3.332232634892509648e-02,-4.922765473219951025e-03,1.073023822675309713e+00
3.337659723874419199e-02,-4.913946210275853786e-03,1.074181937848999402e+00
3.343086812856328749e-02,-4.905141086899074757e-03,1.075337634902570061e+00
3.348513901838238299e-02,-4.896350101697273700e-03,1.076490922112487647e+00
3.353940990820147849e-02,-4.887573253164738396e-03,1.077641807730932211e+00
3.359368079802057400e-02,-4.878810539683431542e-03,1.078790299985945111e+00
3.364795168783967644e-02,-4.870061959524037663e-03,1.079936407081578453e+00
3.370222257765877194e-02,-4.861327510847003076e-03,1.081080137198041857e+00
3.375649346747786744e-02,-4.852607191703564582e-03,1.082221498491848566e+00
3.381076435729696295e-02,-4.843901000036775553e-03,1.083360499095962437e+00
3.386503524711605845e-02,-4.835208933682525086e-03,1.084497147119941829e+00
3.391930613693515395e-02,-4.826530990370551943e-03,1.085631450650084595e+00
3.397357702675424945e-02,-4.817867167725445494e-03,1.086763417749571747e+00
3.402784791657334496e-02,-4.809217463267650115e-03,1.087893056458610230e+00
3.408211880639244046e-02,-4.800581874414453984e-03,1.089020374794575252e+00
3.413638969621154290e-02,-4.791960398480977872e-03,1.090145380752151949e+00
3.419066058603063840e-02,-4.783353032681156129e-03,1.091268082303475273e+00
3.424493147584973390e-02,-4.774759774128709000e-03,1.092388487398271879e+00
3.429920236566882941e-02,-4.766180619838111462e-03,1.093506603963997570e+00
3.435347325548792491e-02,-4.757615566725554267e-03,1.094622439905978073e+00
3.440774414530702041e-02,-4.749064611609900635e-03,1.095736003107545153e+00
3.446201503512611591e-02,-4.740527751213636024e-03,1.096847301430175836e+00
3.451628592494521142e-02,-4.732004982163810942e-03,1.097956342713627631e+00
3.457055681476430692e-02,-4.723496300992979444e-03,1.099063134776076200e+00
3.462482770458340936e-02,-4.715001704140129798e-03,1.100167685414249030e+00
3.467909859440250486e-02,-4.706521187951615177e-03,1.101270002403561765e+00
3.473336948422160037e-02,-4.698054748682066115e-03,1.102370093498251657e+00
3.478764037404069587e-02,-4.689602382495308176e-03,1.103467966431510794e+00
3.484191126385979137e-02,-4.681164085465276160e-03,1.104563628915619766e+00
3.489618215367888687e-02,-4.672739853576906612e-03,1.105657088642079788e+00
3.495045304349798237e-02,-4.664329682727045082e-03,1.106748353281743480e+00
3.500472393331707788e-02,-4.655933568725331706e-03,1.107837430484946983e+00
3.505899482313617338e-02,-4.647551507295088515e-03,1.108924327881639416e+00
3.511326571295527582e-02,-4.639183494074201539e-03,1.110009053081513875e+00
3.516753660277437132e-02,-4.630829524615995979e-03,1.111091613674135337e+00
3.522180749259346683e-02,-4.622489594390102700e-03,1.112172017229069887e+00
3.527607838241256233e-02,-4.614163698783328195e-03,1.113250271296013061e+00
3.533034927223165783e-02,-4.605851833100505464e-03,1.114326383404916410e+00
3.538462016205075333e-02,-4.597553992565356178e-03,1.115400361066115620e+00
3.543889105186984884e-02,-4.589270172321332879e-03,1.116472211770455525e+00
3.549316194168894434e-02,-4.581000367432464665e-03,1.117541942989416004e+00
3.554743283150803984e-02,-4.572744572884195058e-03,1.118609562175238326e+00
3.560170372132713534e-02,-4.564502783584212936e-03,1.119675076761047938e+00
3.565597461114623778e-02,-4.556274994363280866e-03,1.120738494160980148e+00
3.571024550096533329e-02,-4.548061199976061696e-03,1.121799821770302019e+00
3.576451639078442879e-02,-4.539861395101927807e-03,1.122859066965536501e+00
3.581878728060352429e-02,-4.531675574345779035e-03,1.123916237104584770e+00
3.587305817042261979e-02,-4.523503732238849315e-03,1.124971339526847025e+00
3.592732906024171530e-02,-4.515345863239508123e-03,1.126024381553344833e+00
3.598159995006081080e-02,-4.507201961734057585e-03,1.127075370486841033e+00
3.603587083987990630e-02,-4.499072022037528713e-03,1.128124313611961416e+00
3.609014172969900180e-02,-4.490956038394462897e-03,1.129171218195312409e+00
3.614441261951810425e-02,-4.482854004979700338e-03,1.130216091485602314e+00
3.619868350933719975e-02,-4.474765915899157204e-03,1.131258940713758099e+00
3.625295439915629525e-02,-4.466691765190596713e-03,1.132299773093045747e+00
3.630722528897539075e-02,-4.458631546824400223e-03,1.133338595819185501e+00
3.636149617879448626e-02,-4.450585254704330501e-03,1.134375416070471321e+00
3.641576706861358176e-02,-4.442552882668290674e-03,1.135410241007886123e+00
3.647003795843267726e-02,-4.434534424489082298e-03,1.136443077775218358e+00
3.652430884825177276e-02,-4.426529873875150421e-03,1.137473933499178358e+00
3.657857973807086827e-02,-4.418539224471334723e-03,1.138502815289512471e+00
3.663285062788997071e-02,-4.410562469859605900e-03,1.139529730239118965e+00
3.668712151770906621e-02,-4.402599603559809865e-03,1.140554685424161274e+00
3.674139240752816171e-02,-4.394650619030390261e-03,1.141577687904182348e+00
3.679566329734725721e-02,-4.386715509669125712e-03,1.142598744722218340e+00
3.684993418716635272e-02,-4.378794268813847139e-03,1.143617862904911187e+00
3.690420507698544822e-02,-4.370886889743161134e-03,1.144635049462620735e+00
3.695847596680454372e-02,-4.362993365677163803e-03,1.145650311389537324e+00
3.701274685662363922e-02,-4.355113689778151130e-03,1.146663655663792802e+00
3.706701774644273473e-02,-4.347247855151325883e-03,1.147675089247572222e+00
3.712128863626183023e-02,-4.339395854845501041e-03,1.148684619087223746e+00
3.717555952608093267e-02,-4.331557681853795416e-03,1.149692252113369895e+00
3.722983041590002817e-02,-4.323733329114333619e-03,1.150697995241016347e+00
3.728410130571912368e-02,-4.315922789510928670e-03,1.151701855369661631e+00
3.733837219553821918e-02,-4.308126055873771551e-03,1.152703839383406814e+00
3.739264308535731468e-02,-4.300343120980115556e-03,1.153703954151062971e+00
3.744691397517641018e-02,-4.292573977554949363e-03,1.154702206526259545e+00
3.750118486499550569e-02,-4.284818618271674442e-03,1.155698603347552700e+00
