t,u,v
1.594000000000000083e+00,-7.179644963088088229e-03,1.202506689793034127e+02
1.596000000000000085e+00,-6.764447492660035852e-03,1.203205313473821576e+02
1.598000000000000087e+00,-6.369903349389629751e-03,1.203856171255555978e+02
1.600000000000000089e+00,-5.997679413180892830e-03,1.204467511526989369e+02
1.602000000000000091e+00,-5.648965959795139782e-03,1.205046914171083330e+02
1.604000000000000092e+00,-5.324638561874684393e-03,1.205601537130794441e+02
1.606000000000000094e+00,-5.025392955478258199e-03,1.206138340089749192e+02
1.608000000000000096e+00,-4.751862098081875013e-03,1.206664299342162110e+02
1.610000000000000098e+00,-4.504723371647426783e-03,1.207186627204093696e+02
1.612000000000000099e+00,-4.284803256441427344e-03,1.207713009715446191e+02
1.614000000000000101e+00,-4.093186774663540306e-03,1.208251877948398345e+02
1.616000000000000103e+00,-3.931339560169543404e-03,1.208812731069168649e+02
1.618000000000000105e+00,-3.801251535753872538e-03,1.209406533492186639e+02
1.620000000000000107e+00,-3.705612790735920807e-03,1.210046213969882274e+02
1.622000000000000108e+00,-3.648034037048396988e-03,1.210747300713771182e+02
1.624000000000000110e+00,-3.633325056053105916e-03,1.211528731684985019e+02
1.626000000000000112e+00,-3.667842421923448587e-03,1.212413877654768584e+02
1.628000000000000114e+00,-3.759906708360860779e-03,1.213431794296644597e+02
1.630000000000000115e+00,-3.920256270450420306e-03,1.214618648149326248e+02
1.632000000000000117e+00,-4.162422032238205852e-03,1.216019075348572613e+02
1.634000000000000119e+00,-4.502724033840446553e-03,1.217686809012347027e+02
1.636000000000000121e+00,-4.959231776304429302e-03,1.219683067609580291e+02
1.638000000000000123e+00,-5.548470183623320333e-03,1.222069833411072182e+02
1.640000000000000124e+00,-6.278201816968797914e-03,1.224893886960251024e+02
1.642000000000000126e+00,-7.135540065156358719e-03,1.228159056603593768e+02
1.644000000000000128e+00,-8.074180570917953784e-03,1.231793756458211817e+02
1.646000000000000130e+00,-9.011975400658962798e-03,1.235637922122793526e+02
1.648000000000000131e+00,-9.849964011527889002e-03,1.239476005402470804e+02
1.650000000000000133e+00,-1.050611866226687854e-02,1.243106593281152783e+02
1.652000000000000135e+00,-1.093959975640714129e-02,1.246399366714621948e+02
1.654000000000000137e+00,-1.115127020365447308e-02,1.249305838519010621e+02
1.656000000000000139e+00,-1.116866987417326589e-02,1.251836102047263779e+02
1.658000000000000140e+00,-1.102984885068078631e-02,1.254029527354859397e+02
1.660000000000000142e+00,-1.077289872567765115e-02,1.255934203779051757e+02
1.662000000000000144e+00,-1.043113251236490492e-02,1.257596373193454866e+02
1.664000000000000146e+00,-1.003173654744294110e-02,1.259056384690350541e+02
1.665999999999999925e+00,-9.596059677280473557e-03,1.260347938136349484e+02
1.667999999999999927e+00,-9.140487973631074292e-03,1.261498679927870654e+02
1.669999999999999929e+00,-8.677413050802799607e-03,1.262531203332556942e+02
1.671999999999999931e+00,-8.216102783900881140e-03,1.263464054441280524e+02
1.673999999999999932e+00,-7.763421887359774586e-03,1.264312605993679028e+02
1.675999999999999934e+00,-7.324405914267418695e-03,1.265089772723300854e+02
1.677999999999999936e+00,-6.902710808554997531e-03,1.265806583517843649e+02
1.679999999999999938e+00,-6.500963221589849995e-03,1.266472637500438907e+02
1.681999999999999940e+00,-6.121034309913666802e-03,1.267096471388412482e+02
1.683999999999999941e+00,-5.764255823690703565e-03,1.267685862059319533e+02
1.685999999999999943e+00,-5.431593571107258892e-03,1.268248084336871813e+02
1.687999999999999945e+00,-5.123790315251330711e-03,1.268790140770531707e+02
1.689999999999999947e+00,-4.841487917451801383e-03,1.269318977978820016e+02
1.691999999999999948e+00,-4.585337036010318952e-03,1.269841703028485114e+02
1.693999999999999950e+00,-4.356101849616354944e-03,1.270365813337221255e+02
1.695999999999999952e+00,-4.154767047681572414e-03,1.270899454749652051e+02
1.697999999999999954e+00,-3.982654690536010719e-03,1.271451724827051635e+02
1.699999999999999956e+00,-3.841559479190577008e-03,1.272033042116546966e+02
1.701999999999999957e+00,-3.733912439544014288e-03,1.272655607251659262e+02
1.703999999999999959e+00,-3.662984813686325988e-03,1.273333987857868692e+02
1.705999999999999961e+00,-3.633145408557407040e-03,1.274085865058442693e+02
1.707999999999999963e+00,-3.650184018239946340e-03,1.274932981020379827e+02
1.709999999999999964e+00,-3.721706474462342217e-03,1.275902314613404656e+02
1.711999999999999966e+00,-3.857583389680572031e-03,1.277027462825311943e+02
1.713999999999999968e+00,-4.070373134430958946e-03,1.278350068692582795e+02
1.715999999999999970e+00,-4.375497620588903076e-03,1.279920811847382396e+02
1.717999999999999972e+00,-4.790658283328835809e-03,1.281798798167376106e+02
1.719999999999999973e+00,-5.333479558130193449e-03,1.284046986080788599e+02
1.721999999999999975e+00,-6.015800131203901009e-03,1.286719823919937369e+02
1.723999999999999977e+00,-6.833265299702931568e-03,1.289839397045243743e+02
1.725999999999999979e+00,-7.751966742469531928e-03,1.293362738301634920e+02
1.727999999999999980e+00,-8.700929707236005478e-03,1.297158645885878627e+02
1.729999999999999982e+00,-9.583419146193487143e-03,1.301023581334495702e+02
1.731999999999999984e+00,-1.030796587160080248e-02,1.304743209866845461e+02
1.733999999999999986e+00,-1.081853922704915059e-02,1.308159507559015253e+02
1.735999999999999988e+00,-1.110313119845877938e-02,1.311197822331572809e+02
1.737999999999999989e+00,-1.118224321286300123e-02,1.313851888478028229e+02
1.739999999999999991e+00,-1.109186881229989007e-02,1.316154025626906332e+02
1.741999999999999993e+00,-1.087086599126293324e-02,1.318150995981930862e+02
1.743999999999999995e+00,-1.055444290219945645e-02,1.319890365830677013e+02
1.745999999999999996e+00,-1.017187923107177282e-02,1.321414674445795185e+02
1.747999999999999998e+00,-9.746415815712774697e-03,1.322759845057466634e+02
1.750000000000000000e+00,-9.296008097680791976e-03,1.323955468360323380e+02
1.752000000000000002e+00,-8.834294854002543509e-03,1.325025730413454426e+02
1.754000000000000004e+00,-8.371512421681420041e-03,1.325990440977200819e+02
1.756000000000000005e+00,-7.915267387115738906e-03,1.326865958548210926e+02
1.758000000000000007e+00,-7.471158162617955005e-03,1.327665958809295148e+02
1.760000000000000009e+00,-7.043263796962678271e-03,1.328402052433445988e+02
1.762000000000000011e+00,-6.634525144966790799e-03,1.329084277264105083e+02
