stage,node_index,xi,gamma,x_in,x_out,status,system_rebuilt_at_node,lure_rebuilt_at_node
gamma,13,2.85,0.13500000000000004,"[0.2680755844330609,-0.030291692416890306,0.45467182851743265]","[0.4583601662115485,0.030351297336335303,0.7174459544087218]",ok,True,True
gamma,14,2.85,0.13750000000000004,"[0.4583601662115485,0.030351297336335303,0.7174459544087218]","[0.38526303621214164,-0.006203088848047776,0.7881950799217369]",ok,True,True
gamma,15,2.85,0.14000000000000004,"[0.38526303621214164,-0.006203088848047776,0.7881950799217369]","[0.3647002557686338,-0.01701947767683658,0.863734073506769]",ok,True,True
gamma,16,2.85,0.14250000000000004,"[0.3647002557686338,-0.01701947767683658,0.863734073506769]","[0.45322221013126035,0.02504140709069514,0.7018614290613715]",ok,True,True
gamma,17,2.85,0.14500000000000005,"[0.45322221013126035,0.02504140709069514,0.7018614290613715]","[0.1540569808607329,-0.024110153899898294,-0.10982170177750347]",ok,True,True
gamma,18,2.85,0.14580379839949112,"[0.1540569808607329,-0.024110153899898294,-0.10982170177750347]","[0.19827012919895182,-0.0414413734356965,0.2728526543351126]",ok,True,True
gamma,19,2.85,0.14680379839949112,"[0.19827012919895182,-0.0414413734356965,0.2728526543351126]","[0.366245578609005,-0.019540424748472666,0.8749438914799476]",ok,True,True
gamma,20,2.85,0.14750000000000005,"[0.366245578609005,-0.019540424748472666,0.8749438914799476]","[0.39254633380713694,-0.01167559500388589,0.9658626521502439]",ok,True,True
gamma,21,2.85,0.14880379839949112,"[0.39254633380713694,-0.01167559500388589,0.9658626521502439]","[0.010607961956603,0.009797736562333428,-0.3765393859248312]",ok,True,True
gamma,22,2.85,0.15000000000000005,"[0.010607961956603,0.009797736562333428,-0.3765393859248312]","[0.31236724946184385,-0.03382557375128303,0.7070408189178036]",ok,True,True
gamma,23,2.85,0.15180379839949112,"[0.31236724946184385,-0.03382557375128303,0.7070408189178036]","[0.35749165583411613,-0.02506906580484652,0.8867947015039866]",ok,True,True
gamma,24,2.85,0.15250000000000005,"[0.35749165583411613,-0.02506906580484652,0.8867947015039866]","[0.41820605271140615,-0.003602826697871515,1.009698567265775]",ok,True,True
gamma,25,2.85,0.15380379839949113,"[0.41820605271140615,-0.003602826697871515,1.009698567265775]","[0.46373786366309927,0.02002569201471699,0.9388804727475778]",ok,True,True
gamma,26,2.85,0.15500000000000005,"[0.46373786366309927,0.02002569201471699,0.9388804727475778]","[0.2858923044032133,-0.040050661976050464,0.6175877505536984]",ok,True,True
gamma,27,2.85,0.15580379839949113,"[0.2858923044032133,-0.040050661976050464,0.6175877505536984]","[0.2180213914524749,0.012476560186432988,-0.30786328643608385]",ok,True,True
gamma,28,2.85,0.15750000000000006,"[0.2180213914524749,0.012476560186432988,-0.30786328643608385]","[0.24057389450589522,-0.04406265913073224,0.42059775513903286]",ok,True,True
gamma,29,2.85,0.1588037983994911,"[0.24057389450589522,-0.04406265913073224,0.42059775513903286]","[0.391248262577859,-0.017679595013962133,0.9920158778790578]",ok,True,True
