time,lambda_1,lambda_2,lambda_3
61.5,0.615678630378161,0.010041207496767617,-20.856589986924067
62.0,0.6196322924876798,0.01696562490769558,-20.863152983639406
62.5,0.6177203694204912,-0.05594331312329815,-20.801681554409214
63.0,0.6140168531982207,-0.03503379475741834,-20.805326325956543
63.5,0.6088786098114185,-0.0338942027940789,-20.82863123497389
64.0,0.6015485600413408,-0.026380893423842006,-20.8304813958372
64.5,0.6013341805529931,-0.019590682090439567,-20.83311324948037
65.0,0.5877276150494685,-0.013211669436750463,-20.83074369935887
65.5,0.5923359207122633,-0.0046561383044174945,-20.830500516188895
66.0,0.5637451864628847,0.003950029437050935,-20.828235380219404
66.5,0.5678159938629749,0.016769709703668804,-20.82403935269861
67.0,0.5697223652000929,0.0075008436291764775,-20.842800867259466
67.5,0.5817286147881002,0.003523944599120032,-20.841038082966676
68.0,0.5615072263468847,0.013871295908968037,-20.835237105205962
68.5,0.5713605294567999,0.01972119817499169,-20.82826537190403
69.0,0.5743728225045579,0.004336492478594644,-20.837570318305605
69.5,0.5856301450638087,0.007868895484016624,-20.829834438331304
70.0,0.5643880071496792,0.012389385587264126,-20.83166913981917
70.5,0.5939064766516597,0.00024499278669099585,-20.82068938948311
71.0,0.5696844305310812,0.015399070571159823,-20.836452425648808
71.5,0.6012669391208234,-0.004641941274895672,-20.828891852827105
72.0,0.5859704053074242,-0.017385515286278738,-20.80902490823126
72.5,0.5801622985449547,0.007997449171527437,-20.79459821506902
73.0,0.5784377514718967,0.0031485465260574024,-20.817753637811794
73.5,0.6009990450371744,-0.014850128140314606,-20.813267702687643
74.0,0.5873461925476651,0.006280760541614965,-20.808459351634106
74.5,0.6043406484123666,-0.00708076140230263,-20.80561459322475
75.0,0.6015220425158767,0.009769973269502375,-20.803505803356106
75.5,0.608261334333106,0.0016690372482702225,-20.803970350886072
76.0,0.6019579761592752,0.027648087145353727,-20.80008354340274
76.5,0.6067596783268914,-0.00015869644091346435,-20.795658356342766
77.0,0.6202817150459662,0.017250023294029,-20.81374461097484
77.5,0.6037784806624266,0.027949748525310264,-20.814909597042753
78.0,0.5924839455001455,0.0077818747408750855,-20.77431981030795
78.5,0.5779707215804171,0.003968521348676492,-20.76674992010335
79.0,0.5752151408139538,0.027309916406526823,-20.793461325899194
79.5,0.5859534875863964,0.01658149157478719,-20.79375446213385
80.0,0.5857967520707529,0.013388582938084767,-20.791652238807256
80.5,0.5834548448219141,0.009213364346588804,-20.788555379223762
81.0,0.5897094583826348,0.004221305973663172,-20.7895484591546
81.5,0.578077284273619,-0.003793549845519976,-20.779862103419866
82.0,0.5873254913614265,0.013578999432742158,-20.80408380953352
