block,time,lambda1,lambda2,lambda3,stretch1,stretch2,stretch3
50,25,0.53331205623483502,0.0076669932595953673,-2.2816663126389982,1.9169573963400035,0.56246160859620431,0.78916105863584018
51,25.5,0.55941043829334092,-0.03040079384008678,-2.2309350188397459,2.540001751530943,0.3802618919079494,1.1651092221731236
52,26,0.58613559409649973,-0.015099087876289035,-2.2356908337239365,2.6499990195814509,1.4661559242439224,0.28963936570435239
53,26.5,0.56318031991861783,-0.01263155043770749,-2.2436747620299515,0.7296086615389602,1.059545664859862,0.26463083042929314
54,27,0.48901964995936309,0.047324038401110172,-2.1937419946860635,0.17893226922930527,5.0152592923097616,1.2540111544539423
55,27.5,0.51768462410976179,0.0032140967812985125,-2.2177964871825773,2.8089102988081223,0.30441560931696487,0.17232560472623518
56,28,0.52129632453118069,0.00027162389662698904,-2.1839466641870238,1.4332863061847476,0.9223945741336752,0.85120422254040151
57,28.5,0.53802593826650846,0.00023361473887488829,-2.1673304129878184,2.0905812842087976,0.99905299964051331,0.53880035643236057
58,29,0.53416169280204395,-0.0075501827759645998,-2.1772520382089962,1.1699369408687204,0.79802662249926737,0.25375340299253157
59,29.5,0.5151418397073535,0.0097081998253148727,-2.1435107441274455,0.74527289929948926,1.6575609180100745,0.91095858508074568
60,30,0.47831442680059344,-0.0030508344851018537,-2.1209568790319664,0.42859131176325127,0.68528742553916455,0.67358612186426914
61,30.5,0.4309387285846536,0.040361425227604601,-2.0861432380658842,0.29945186800061824,3.7529736684518209,1.0013385049487273
62,31,0.48336264447903171,-0.017592399989458489,-2.0507582941017324,6.3003850905784864,0.16924839180676637,1.0553385794770256
63,31.5,0.49927040832897529,-0.013136718625732667,-2.0572781585931046,2.1017616699561232,1.140603790473691,0.29207201554903878
64,32,0.48154045438072107,0.0011243820795858762,-2.0657616156973821,0.72780412781996595,1.5679779561589999,0.27250189612846853
65,32.5,0.44703206446102722,0.012537338498562678,-2.034868739371094,0.41447092766093241,1.4498835960974996,0.97155021125460828
66,33,0.4647194945105082,0.0032088623657949879,-2.0597261934313384,2.2416253913360542,0.73965527706050693,0.15917829486195889
67,33.5,0.4506627948617839,0.01199386488833964,-2.0271714082443779,0.7877774199811457,1.3443384263027918,1.062603689367225
68,34,0.45377537604794094,0.025868774420707386,-2.0243966297489844,1.3925814148101776,1.6124324164730524,0.39882074037881809
69,34.5,0.44369364597486821,0.022130746469652667,-2.0268007538495563,0.88609421239635555,0.89045066691086983,0.33449257520919767
70,35,0.43272147037347758,0.021029194777656249,-1.9890535204858502,0.85028871449293175,0.97288544651303421,1.3603646527153783
71,35.5,0.42161448328713452,0.010922090418931718,-1.987521280925731,0.83699489608516531,0.70589582619139724,0.39057617595492827
72,36,0.41012697121672492,0.021612548762333244,-1.9618470914940427,0.8164878943998185,1.4774498770672544,0.93286962908886728
73,36.5,0.41287781459166706,0.02139414915438597,-1.9401839649181294,1.3572617741816919,1.0028387102201086,0.82677769774148568
74,37,0.42172243004469573,0.013422240809063724,-1.9514700005183745,1.705212402218736,0.75256829108852896,0.24965500362716067
75,37.5,0.42244584162641696,0.024444947586010544,-1.9451171412581407,1.268695426563567,1.5220568707455111,0.47830686379557208
76,38,0.41123461975750714,0.0081275074948702602,-1.9228293566725894,0.80669993290986419,0.54452563944181132,0.88194749310172715
77,38.5,0.37871076377927604,0.042502549244674344,-1.923393578560108,0.35114671714699114,3.7716133760238892,0.37413550999361195
78,39,0.41210504620476979,0.0017977620564582531,-1.8937965439377258,4.4447889898262494,0.20882985996185696,1.2123826564890745
79,39.5,0.43559080068636019,0.0053222587730413782,-1.8990844812220538,3.1072553894730075,1.1504078150947947,0.31481447097685833
