coordinate,frequency,normalized_fft_power
x,3.0558680164963743,7.534088749555495e-05
x,3.062117235344015,1.3503675140987581e-05
x,3.068366454191656,3.533439985904818e-05
x,3.074615673039297,2.9069387176640577e-05
x,3.0808648918869377,1.8557888811612677e-05
x,3.0871141107345785,3.64879193923465e-05
x,3.0933633295822194,4.8648380413548256e-05
x,3.0996125484298602,3.689499426601124e-05
x,3.105861767277501,2.7353838242262685e-05
x,3.112110986125142,9.524255280498121e-06
x,3.1183602049727828,5.297272870520751e-06
x,3.1246094238204236,1.3728928285002619e-05
x,3.1308586426680645,3.848466389995082e-06
x,3.1371078615157053,1.4900303344907305e-05
x,3.143357080363346,1.1907747630649516e-05
x,3.149606299210987,1.0282048195319777e-05
x,3.155855518058628,2.540079862460911e-05
x,3.1621047369062687,1.004797938616894e-05
x,3.1683539557539095,7.63190725598103e-06
x,3.1746031746015504,4.657324177841035e-06
x,3.1808523934491912,1.922840576415576e-06
x,3.187101612296832,2.4042464205971583e-06
x,3.193350831144473,1.6944706809960825e-07
x,3.199600049992114,1.392387074349965e-05
x,3.2058492688397546,1.8161242181366406e-05
x,3.2120984876873955,2.3442713573761417e-05
x,3.2183477065350363,2.8898678772400293e-05
x,3.224596925382677,4.240505240461305e-05
x,3.230846144230318,1.3225533990393064e-05
x,3.237095363077959,4.498674148139947e-06
x,3.2433445819255997,1.2151422888634683e-05
x,3.2495938007732406,6.929533588940301e-06
x,3.2558430196208814,6.563906041663209e-07
x,3.2620922384685223,4.7366040383172934e-07
x,3.268341457316163,6.679767704165807e-07
x,3.274590676163804,8.975283213459901e-06
x,3.280839895011445,3.1606953764156325e-06
x,3.2870891138590856,2.056868740536609e-06
x,3.2933383327067265,1.1558127830156006e-06
x,3.2995875515543673,1.0701798042487172e-05
x,3.305836770402008,1.3493128018667654e-05
x,3.312085989249649,4.964614496399378e-07
x,3.31833520809729,8.06029983880938e-06
x,3.3245844269449307,8.314978326653898e-07
x,3.3308336457925716,1.2630729268897082e-05
x,3.3370828646402124,4.2758785929163275e-05
x,3.3433320834878533,8.464467871707402e-05
x,3.349581302335494,3.828973987653031e-05
x,3.355830521183135,5.383467508883555e-06
x,3.362079740030776,1.982525089659068e-06
x,3.3683289588784167,7.729986946965917e-06
x,3.3745781777260575,1.6309527109449113e-06
x,3.3808273965736984,4.574827107707932e-06
x,3.387076615421339,6.94763222063659e-06
x,3.39332583426898,8.541789830739872e-06
x,3.399575053116621,5.393031717269558e-07
x,3.4058242719642617,2.4003480299211633e-06
x,3.4120734908119026,4.096316569270555e-06
x,3.4183227096595434,5.02750829663019e-06
x,3.4245719285071843,1.0664079808695888e-05
x,3.430821147354825,1.0116317461161508e-05
x,3.437070366202466,3.6691009253688666e-07
x,3.443319585050107,6.758983478544508e-06
x,3.4495688038977477,1.1890068824347671e-05
x,3.4558180227453885,8.513634001618862e-06
x,3.4620672415930294,1.0543065399776718e-06
x,3.46831646044067,1.541916122332311e-06
x,3.474565679288311,5.18680383944545e-09
x,3.480814898135952,4.398081089986986e-07
x,3.4870641169835928,8.681034353909586e-06
x,3.4933133358312336,5.080344358282487e-06
x,3.4995625546788744,6.2705085406066615e-06
x,3.5058117735265153,1.1294430743387108e-05
x,3.512060992374156,3.5204662440179896e-08
x,3.518310211221797,1.152008198759907e-05
x,3.524559430069438,1.1944136023291134e-05
x,3.5308086489170787,7.187743615376081e-06
x,3.5370578677647195,1.2977621229025449e-05
x,3.5433070866123604,1.1799075416125817e-06
x,3.5495563054600012,6.370605254161159e-06
x,3.555805524307642,1.4506591463077345e-05
x,3.562054743155283,1.0598985661195167e-05
x,3.5683039620029238,1.0770963240378478e-05
x,3.5745531808505646,1.2022450159438826e-05
x,3.5808023996982055,1.9574897739850866e-06
x,3.5870516185458463,2.6745109379108786e-06
x,3.593300837393487,1.6544385420477376e-05
x,3.599550056241128,6.455111047194292e-06
x,3.605799275088769,4.9212200371051296e-05
x,3.6120484939364097,3.566800990098071e-05
x,3.6182977127840505,1.8226401879342936e-05
x,3.6245469316316914,1.796058356417788e-05
x,3.6307961504793322,4.059886642123771e-06
x,3.637045369326973,1.904210364392988e-05
x,3.643294588174614,1.562667086242292e-05
x,3.649543807022255,7.670682921667182e-06
x,3.6557930258698956,1.303714159456038e-05
x,3.6620422447175365,1.9829006983104815e-05
x,3.6682914635651773,4.8558942697739414e-06
