coordinate,frequency,normalized_fft_power
x,2.1372328458931698,4.250018995223804e-06
x,2.1434820647408106,4.906772215738509e-06
x,2.1497312835884514,4.622685902913738e-06
x,2.1559805024360923,7.178972683388658e-07
x,2.162229721283733,6.406072745485598e-07
x,2.168478940131374,1.1493652118385182e-06
x,2.174728158979015,1.581335109391959e-06
x,2.1809773778266557,1.4301196518421813e-06
x,2.1872265966742965,4.200465436250304e-06
x,2.1934758155219374,3.398567464559207e-06
x,2.1997250343695782,6.177798879156866e-06
x,2.205974253217219,2.05970315733841e-06
x,2.21222347206486,5.003813783630277e-07
x,2.2184726909125008,8.105413891144459e-08
x,2.2247219097601416,1.0719643242912047e-06
x,2.2309711286077825,3.215231471466499e-06
x,2.2372203474554233,4.190534061873987e-06
x,2.243469566303064,1.2969211892137432e-06
x,2.249718785150705,3.933473537827822e-06
x,2.255968003998346,1.2180090328421507e-05
x,2.2622172228459867,1.493322728099931e-06
x,2.2684664416936275,1.3442713846163303e-06
x,2.2747156605412684,2.7902784278395697e-06
x,2.2809648793889092,3.5365605553275797e-06
x,2.28721409823655,1.9332172133110034e-06
x,2.293463317084191,1.2145054461213447e-06
x,2.299712535931832,1.9282100264135793e-06
x,2.3059617547794726,4.16697350923903e-06
x,2.3122109736271135,2.340626132949492e-06
x,2.3184601924747543,2.7178543450053527e-08
x,2.324709411322395,3.5394328880671685e-07
x,2.330958630170036,4.460156967419084e-07
x,2.337207849017677,2.5396523228375345e-07
x,2.3434570678653177,6.139373380230612e-07
x,2.3497062867129586,6.836388544882117e-07
x,2.3559555055605994,1.8964111497733524e-06
x,2.3622047244082403,2.4151820962376953e-06
x,2.368453943255881,3.198904251736303e-07
x,2.374703162103522,1.3079395066492814e-06
x,2.380952380951163,2.430410709369385e-07
x,2.3872015997988036,8.896323379758026e-07
x,2.3934508186464445,1.3702456766045004e-06
x,2.3997000374940853,1.1321994938539637e-06
x,2.405949256341726,5.553786102117001e-07
x,2.412198475189367,1.4002834387621224e-07
x,2.418447694037008,9.137939289418454e-07
x,2.4246969128846487,4.8110242759517095e-06
x,2.4309461317322896,2.527274004694152e-06
x,2.4371953505799304,2.4804303653676525e-07
x,2.4434445694275713,2.276026650814753e-06
x,2.449693788275212,6.403043412561235e-06
x,2.455943007122853,8.098764380103034e-06
x,2.462192225970494,3.5833335471365636e-06
x,2.4684414448181347,8.952277075079744e-07
x,2.4746906636657755,3.3259195172037175e-06
x,2.4809398825134164,4.010781396206542e-06
x,2.487189101361057,1.777648741199885e-06
x,2.493438320208698,1.930857272556988e-06
x,2.499687539056339,1.0283205509188424e-05
x,2.5059367579039797,1.4988463173917931e-06
x,2.5121859767516206,1.4613637794090402e-06
x,2.5184351955992614,3.4454999859011335e-06
x,2.5246844144469023,1.710372280449898e-05
x,2.530933633294543,2.3332075387413498e-05
x,2.537182852142184,1.378623992231139e-05
x,2.543432070989825,3.9363266413636705e-06
x,2.5496812898374657,5.7349458270230395e-06
x,2.5559305086851065,1.5930018708275269e-06
x,2.5621797275327474,1.0120577942687053e-06
x,2.568428946380388,2.0238873783624953e-06
x,2.574678165228029,6.891875212630027e-07
x,2.58092738407567,1.2340867304572082e-07
x,2.5871766029233108,2.102487959580579e-06
x,2.5934258217709516,1.3169902420727542e-06
x,2.5996750406185924,8.984414833823066e-07
x,2.6059242594662333,2.1400420206333073e-06
x,2.612173478313874,2.774787441837361e-06
x,2.618422697161515,1.7184861565840367e-06
x,2.624671916009156,2.819199033275942e-06
