time,lambda_1,lambda_2,lambda_3
32.5,0.794697471394205,0.025472506701111043,-21.080780304436832
33.0,0.8543668680917664,0.0036391119134472822,-21.04862027241963
33.5,0.8163979723772556,0.025011290100398473,-21.096192946874506
34.0,0.8432523947084085,0.0019737313781336076,-21.081296529227878
34.5,0.8438815619650782,0.0086643414448682,-21.06568346187001
35.0,0.8560177895807434,-0.001672012337234855,-21.05113099615042
35.5,0.8601783746807291,0.0075988552295730896,-21.036033478271815
36.0,0.8650848984027683,-0.002380314856529575,-21.024602996886966
36.5,0.8657305550851085,0.027427456101176355,-21.01188788846252
37.0,0.8653575148704497,-0.009334608421376591,-20.99703639795114
37.5,0.8595099801742507,0.008523798854687998,-20.95065080406041
38.0,0.8395188553003141,-0.04053766998466016,-20.93449166857586
38.5,0.7827362864028797,0.08147601923778636,-20.989712186521707
39.0,0.8342631491294736,0.049131284818578556,-20.991120338642233
39.5,0.8227110215460482,0.06289569780828119,-20.993446743523887
40.0,0.8361871187009106,0.058426394666869885,-20.990416059991396
40.5,0.8322539261034689,0.04693902413034197,-20.985901254940316
41.0,0.8236443929123367,0.03812414151400411,-20.97189120502141
41.5,0.7918183580802254,0.03408976717186628,-20.94363481648272
42.0,0.8184367079604926,0.03670893305705773,-20.99463458918983
42.5,0.8166722796926594,0.025038429909959508,-20.984989843812286
43.0,0.8175342200524582,0.006262167792311009,-20.97217890792244
43.5,0.8215029654066042,0.022007546464934268,-20.9950585674832
44.0,0.817206921901845,0.027301743177539296,-21.003543547039556
44.5,0.827456531510516,0.038009907373313806,-21.023909623197433
45.0,0.8057029689565913,0.009284324337246587,-20.988912495036008
45.5,0.7827112639264595,0.05711516341732274,-21.00490021177108
46.0,0.7830699227801776,0.04809747741905755,-21.029370212040693
46.5,0.8138023322726041,0.017913676517604747,-21.03419380030147
47.0,0.7901599044745373,0.04638943962147967,-21.040173633264153
47.5,0.8141569949574265,0.017024088781822114,-21.04076849763509
48.0,0.8081619818814492,0.03264457764907009,-21.045743877600525
48.5,0.813551748287039,-0.006433510409147033,-21.026027649905778
49.0,0.7667592896591194,0.059460485331501015,-21.026672657533194
49.5,0.799122564900612,0.017611276738242965,-21.05151402928103
50.0,0.8169220225563312,0.0027785307405580185,-21.05211715569901
50.5,0.7818949469185982,0.03523141233366365,-21.050569143385665
51.0,0.8103576438667218,0.013834175558315865,-21.04941963408233
51.5,0.8011137204937462,0.009197050212264555,-21.041980568606977
52.0,0.7918454080064159,0.03495487276815931,-21.03564435344536
52.5,0.8014529740875215,0.004393143000871546,-21.040882184162854
53.0,0.7978369798349898,0.025831585525982328,-21.031594037899595
53.5,0.7755777210683136,0.030757862151030022,-21.04274292725921
54.0,0.7902826250324012,0.03200503926169819,-21.03283460316536
54.5,0.7816584885675782,0.014168149125437733,-21.028963992458298
55.0,0.802267879103761,0.0142287266243487,-21.013732462266493
55.5,0.7808341049036737,0.02388081500625701,-21.036052170669848
56.0,0.8056795364076604,0.00829814043909942,-21.026909802914396
56.5,0.7951538095538458,0.004400171224194812,-21.015490129053543
57.0,0.8105168765180698,0.008215038338046909,-20.999508068147428
57.5,0.7875676611263928,0.014819122330110812,-21.011200695752127
58.0,0.8218036305235695,-0.0022344286556141403,-20.99802329665412
58.5,0.7763741811121386,0.01180653972480856,-20.985879428892968
59.0,0.8125040789767733,0.004003244202521496,-20.974045102659826
59.5,0.7558743066808951,0.044745458271891074,-20.992117553623874
60.0,0.8142718597810966,0.0018661519956170085,-20.99161465613238
60.5,0.8030764554703121,0.01606632244140283,-20.989314928347483
61.0,0.8134236077959067,0.025298247792099052,-20.986966896862207
61.5,0.8099743443393029,0.019871526495725458,-20.986754755459483
62.0,0.7863568001568951,0.049126309287215834,-20.965350860702305
