stage,node_index,xi,gamma,x_in,x_out,status,system_rebuilt_at_node,lure_rebuilt_at_node
gamma,10,2.85,0.1275,"[0.23381749157972,-0.013347270496793084,0.025920688655707527]","[0.4501107199526566,0.03565601672896342,0.4644502702796131]",ok,True,True
gamma,11,2.85,0.13,"[0.4501107199526566,0.03565601672896342,0.4644502702796131]","[0.4395946245279312,0.02206725744837295,0.756117773967712]",ok,True,True
gamma,12,2.85,0.1325,"[0.4395946245279312,0.02206725744837295,0.756117773967712]","[0.24787606995089465,-0.027646538662928603,0.2842107612672894]",ok,True,True
gamma,13,2.85,0.135,"[0.24787606995089465,-0.027646538662928603,0.2842107612672894]","[0.05052328819497996,0.022111882286010066,-0.14871649889832017]",ok,True,True
gamma,14,2.85,0.1375,"[0.05052328819497996,0.022111882286010066,-0.14871649889832017]","[0.4503975000306511,0.036590871265918534,0.41889457823848225]",ok,True,True
gamma,15,2.85,0.14,"[0.4503975000306511,0.036590871265918534,0.41889457823848225]","[0.4650021365663431,0.03469887253059163,0.5593883631954123]",ok,True,True
gamma,16,2.85,0.14250000000000002,"[0.4650021365663431,0.03469887253059163,0.5593883631954123]","[0.2041324144930875,-0.03451694290456437,0.18038680107907212]",ok,True,True
gamma,17,2.85,0.14500000000000002,"[0.2041324144930875,-0.03451694290456437,0.18038680107907212]","[0.08395319111699553,-0.01773609026691182,-0.26248100287776616]",ok,True,True
gamma,18,2.85,0.14750000000000002,"[0.08395319111699553,-0.01773609026691182,-0.26248100287776616]","[0.26175575192979644,0.029162648834746705,-0.14102652056007903]",ok,True,True
gamma,19,2.85,0.14880379839949112,"[0.26175575192979644,0.029162648834746705,-0.14102652056007903]","[0.4326135928529377,0.006475628585324467,0.9315263217044735]",ok,True,True
gamma,20,2.85,0.15000000000000002,"[0.4326135928529377,0.006475628585324467,0.9315263217044735]","[0.1143543949143323,-0.02840947353087488,-0.14654163168200607]",ok,True,True
gamma,21,2.85,0.15250000000000002,"[0.1143543949143323,-0.02840947353087488,-0.14654163168200607]","[0.13815096557612205,0.018298294389449892,-0.3076698234967453]",ok,True,True
gamma,22,2.85,0.15380379839949113,"[0.13815096557612205,0.018298294389449892,-0.3076698234967453]","[0.49062745444527095,0.044266310505229466,0.48967963752751176]",ok,True,True
gamma,23,2.85,0.15500000000000003,"[0.49062745444527095,0.044266310505229466,0.48967963752751176]","[0.3826673570030197,-0.0183977259039578,0.9444768445221277]",ok,True,True
gamma,24,2.85,0.15750000000000003,"[0.3826673570030197,-0.0183977259039578,0.9444768445221277]","[0.03714874657329216,-0.005899873530344825,-0.39987399862564965]",ok,True,True
gamma,25,2.85,0.1588037983994911,"[0.03714874657329216,-0.005899873530344825,-0.39987399862564965]","[0.4706963558465438,0.02085899755629679,0.9715904749996485]",ok,True,True
