stage,node_index,xi,gamma,x_in,x_out,status,system_rebuilt_at_node,lure_rebuilt_at_node
gamma,5,2.85,0.11500000000000002,"[0.26512414521669087,-0.07975000912955338,2.546230249200252]","[-0.6054576776780259,-0.1382400107967357,-1.91540198136458]",ok,True,True
gamma,6,2.85,0.11750000000000002,"[-0.6054576776780259,-0.1382400107967357,-1.91540198136458]","[0.052954270153344925,0.1370990842794201,-1.8308684958887878]",ok,True,True
gamma,7,2.85,0.12000000000000002,"[0.052954270153344925,0.1370990842794201,-1.8308684958887878]","[0.5951887897979099,0.12278724811730424,2.131955928507395]",ok,True,True
gamma,8,2.85,0.12250000000000003,"[0.5951887897979099,0.12278724811730424,2.131955928507395]","[0.14825855815451638,-0.11008837359131834,2.2309957635078144]",ok,True,True
gamma,9,2.85,0.12500000000000003,"[0.14825855815451638,-0.11008837359131834,2.2309957635078144]","[-0.6388657934608338,-0.17836830671668447,-0.833867362538399]",ok,True,True
gamma,10,2.85,0.12750000000000003,"[-0.6388657934608338,-0.17836830671668447,-0.833867362538399]","[-0.5117039377681737,-0.039068646509810484,-2.754491856852579]",ok,True,True
gamma,11,2.85,0.13000000000000003,"[-0.5117039377681737,-0.039068646509810484,-2.754491856852579]","[-0.1763560704879898,0.10623677839839435,-2.2605455670931014]",ok,True,True
gamma,12,2.85,0.13250000000000003,"[-0.1763560704879898,0.10623677839839435,-2.2605455670931014]","[0.5343096201606378,0.17450279875441524,-0.7444101106467488]",ok,True,True
gamma,13,2.85,0.13500000000000004,"[0.5343096201606378,0.17450279875441524,-0.7444101106467488]","[0.6435150895273439,0.18021377740106537,0.6139832584453773]",ok,True,True
gamma,14,2.85,0.13750000000000004,"[0.6435150895273439,0.18021377740106537,0.6139832584453773]","[0.6354423909398367,0.1611443187076845,1.3662995132804505]",ok,True,True
gamma,15,2.85,0.14000000000000004,"[0.6354423909398367,0.1611443187076845,1.3662995132804505]","[0.6311986237724467,0.1532536207643816,1.5459187484805885]",ok,True,True
gamma,16,2.85,0.14250000000000004,"[0.6311986237724467,0.1532536207643816,1.5459187484805885]","[0.6409826791964329,0.16576732383235096,1.1914724605338005]",ok,True,True
gamma,17,2.85,0.14500000000000005,"[0.6409826791964329,0.16576732383235096,1.1914724605338005]","[0.6404259495244004,0.18083099278295636,0.18757457867393945]",ok,True,True
gamma,18,2.85,0.14750000000000005,"[0.6404259495244004,0.18083099278295636,0.18757457867393945]","[0.19143077738286535,0.14972029861387076,-1.4059267084585336]",ok,True,True
gamma,19,2.85,0.14880379839949112,"[0.19143077738286535,0.14972029861387076,-1.4059267084585336]","[-0.3695546088238432,0.05442257490600226,-2.627041207712974]",ok,True,True
gamma,20,2.85,0.15000000000000005,"[-0.3695546088238432,0.05442257490600226,-2.627041207712974]","[-0.5866918633830644,-0.09442241353283246,-2.349056015088202]",ok,True,True
gamma,21,2.85,0.15250000000000005,"[-0.5866918633830644,-0.09442241353283246,-2.349056015088202]","[-0.6011498677544816,-0.17537310317111557,0.32789045422887575]",ok,True,True
gamma,22,2.85,0.15380379839949113,"[-0.6011498677544816,-0.17537310317111557,0.32789045422887575]","[0.41468498486974775,-0.035328161225860695,2.6841494663820025]",ok,True,True
gamma,23,2.85,0.15500000000000005,"[0.41468498486974775,-0.035328161225860695,2.6841494663820025]","[0.6478738991021592,0.16832862661269693,0.9296997331189493]",ok,True,True
